순번,국토부 코드,정산 코드,정류장 코드,정류장명,행정구역코드,시도명,시군구명,읍면동명,버스안내단말기 설치유무,와이좌표,엑스좌표
233,183002156,8002934,12290,한밭중네거리,3011011800,대전광역시,동구,삼성동,O,36.336952,127.42679
234,183002155,8001749,12300,한밭중네거리,3011011800,대전광역시,동구,삼성동,O,36.33666,127.42679
235,183002159,8001876,12310,삼성초등학교,3011011800,대전광역시,동구,삼성동,O,36.336464,127.43009
236,183002160,8001872,12320,삼성네거리,3011011800,대전광역시,동구,삼성동,O,36.33712,127.43016
237,183002161,8001871,12330,삼성초등학교,3011011800,대전광역시,동구,삼성동,O,36.336555,127.43039
238,183002162,8001090,12340,계룡디지텍고입구,3011011800,대전광역시,동구,삼성동,O,36.33935,127.433395
239,187001380,8007269,14590,한밭자이아파트,3011011800,대전광역시,동구,삼성동,O,36.340706,127.42624
240,187001394,8007270,14600,한밭자이아파트,3011011800,대전광역시,동구,삼성동,O,36.341194,127.425095
241,187001381,8007271,14610,솔랑마을아파트,3011011800,대전광역시,동구,삼성동,O,36.343445,127.42238
242,187001393,8007272,14620,솔랑마을아파트,3011011800,대전광역시,동구,삼성동,O,36.343925,127.42126
243,183002355,8001420,12370,대전역,3011011900,대전광역시,동구,정동,O,36.33344,127.431404
244,183002356,8002695,12380,대전역/하나은행,3011011900,대전광역시,동구,정동,O,36.333744,127.43168
245,183002357,8001419,12390,대전역,3011011900,대전광역시,동구,정동,O,36.332737,127.431725
246,183002359,8001417,12410,대전역,3011011900,대전광역시,동구,정동,O,36.33195,127.43239
247,183002358,8007412,14730,대전역,3011011900,대전광역시,동구,정동,O,36.332798,127.43197
248,183002374,8001528,12420,목척교,3011012000,대전광역시,동구,중동,O,36.33036,127.4299
249,183002375,8002995,12430,목척교,3011012000,대전광역시,동구,중동,O,36.330173,127.43032
250,183002376,8001529,12440,목척교,3011012000,대전광역시,동구,중동,O,36.330624,127.430565
251,183002377,8001527,12450,목척교,3011012000,대전광역시,동구,중동,O,36.330685,127.43078
252,183002378,8001413,12460,대전역,3011012000,대전광역시,동구,중동,O,36.33046,127.43108
253,183002380,8001414,12470,대전역,3011012000,대전광역시,동구,중동,O,36.330814,127.43195
254,183002379,8001415,14230,대전역네거리,3011012000,대전광역시,동구,중동,O,36.331043,127.431854
255,183002324,8003054,14270,대전역/역전시장,3011012000,대전광역시,동구,중동,O,36.33012,127.433365
256,183002396,8002713,12490,상추,3011012100,대전광역시,동구,추동,X,36.374332,127.46789
257,183002397,8002712,12500,상추,3011012100,대전광역시,동구,추동,X,36.374405,127.4679
258,183002403,8001448,12520,대청호자연생태관,3011012100,대전광역시,동구,추동,X,36.373745,127.47215
259,183002402,8001449,12540,대청호자연생태관,3011012100,대전광역시,동구,추동,O,36.373554,127.47212
260,183002406,8002657,12550,중추마을/가래울,3011012100,대전광역시,동구,추동,O,36.375797,127.475426
261,183002409,8002656,12560,중추마을/가래울,3011012100,대전광역시,동구,추동,X,36.375736,127.4755
262,183002408,8001519,12570,동명초등학교,3011012100,대전광역시,동구,추동,X,36.372963,127.47547
263,183002407,8001518,12580,동명초등학교,3011012100,대전광역시,동구,추동,X,36.373413,127.47544
264,183002405,8001521,12590,동명초등학교,3011012100,대전광역시,동구,추동,O,36.373188,127.47517
265,183002410,8002715,12600,추동취수장,3011012100,대전광역시,동구,추동,O,36.370747,127.475746
266,183002411,8002716,12610,추동취수장,3011012100,대전광역시,동구,추동,X,36.37068,127.475845
267,183002414,8001594,12620,마산B지구,3011012100,대전광역시,동구,추동,O,36.37909,127.47783
268,183002415,8001593,12630,마산B지구,3011012100,대전광역시,동구,추동,X,36.379017,127.47793
269,183002398,8005885,12510,중말,3011012100,대전광역시,동구,추동,X,36.373238,127.46844
270,183002399,8002714,12510,중말,3011012100,대전광역시,동구,추동,X,36.373337,127.46844
271,183002412,8002710,12760,추동,3011012100,대전광역시,동구,추동,X,36.364178,127.47642
272,183002413,8002709,12770,추동,3011012100,대전광역시,동구,추동,X,36.36415,127.47658
273,183002400,8005886,12510,중말,3011012100,대전광역시,동구,추동,X,36.373367,127.468475
274,183002114,8001805,12640,비룡교차로,3011012200,대전광역시,동구,비룡동,O,36.348557,127.473434
